ZEIT;RAUM;Reason;WERT
2015;13 Dom;Birth surplus or deficit;-5
2015;14 Buddenturm;Birth surplus or deficit;-40
2015;15 Martini;Birth surplus or deficit;7
2015;21 Pluggendorf;Birth surplus or deficit;-19
2015;22 Josef;Birth surplus or deficit;56
2015;23 Bahnhof;Birth surplus or deficit;0
2015;24 Hansaplatz;Birth surplus or deficit;37
2015;25 Mauritz-West;Birth surplus or deficit;54
2015;26 Schlachthof;Birth surplus or deficit;35
2015;27 Kreuz;Birth surplus or deficit;58
2015;28 Neutor;Birth surplus or deficit;28
2015;29 Schloss;Birth surplus or deficit;-25
2015;31 Aaseestadt;Birth surplus or deficit;2
2015;32 Geist;Birth surplus or deficit;6
2015;33 Schuetzenhof;Birth surplus or deficit;37
2015;34 Dueesberg;Birth surplus or deficit;-21
2015;43 Hafen;Birth surplus or deficit;-1
2015;44 Herz-Jesu;Birth surplus or deficit;-54
2015;45 Mauritz-Mitte;Birth surplus or deficit;20
2015;46 Rumphorst;Birth surplus or deficit;46
2015;47 Uppenberg;Birth surplus or deficit;6
2015;51 Gievenbeck;Birth surplus or deficit;82
2015;52 Sentrup;Birth surplus or deficit;13
2015;54 Mecklenbeck;Birth surplus or deficit;-21
2015;56 Albachten;Birth surplus or deficit;14
2015;57 Roxel;Birth surplus or deficit;43
2015;58 Nienberge;Birth surplus or deficit;5
2015;61 Coerde;Birth surplus or deficit;48
2015;62 Kinderhaus-Ost;Birth surplus or deficit;16
2015;63 Kinderhaus-West;Birth surplus or deficit;17
2015;68 Sprakel;Birth surplus or deficit;-1
2015;71 Mauritz-Ost;Birth surplus or deficit;21
2015;76 Gelmer-Dyckburg;Birth surplus or deficit;8
2015;77 Handorf;Birth surplus or deficit;-23
2015;81 Gremmendorf-West;Birth surplus or deficit;5
2015;82 Gremmendorf-Ost;Birth surplus or deficit;15
2015;86 Angelmodde;Birth surplus or deficit;20
2015;87 Wolbeck;Birth surplus or deficit;-1
2015;91 Berg Fidel;Birth surplus or deficit;-10
2015;95 Hiltrup-Ost;Birth surplus or deficit;-24
